Year,Type,Total,,,
2004,Cancer,0,,,
2004,Other Prolonged Illness,0,,,
2004,Insanity/Mental Illness,0,,,
2004,Divorce,0,,,
2004,Fall in Social Reputation,0,,,
2004,Drug Abuse/Addiction,0,,,
2004,Failure in Examination,0,,,
2004,Bankruptcy,0,,,
2004,Death of Dear Person,0,,,
2004,Professional/Career Problem,0,,,
2004,Family Problems,0,,,
2004,Illness (Aids/STD),0,,,
2004,Paralysis,0,,,
2004,Divorce,0,,,
2004,Illegitimate Pregnancy,0,,,
2004,Paralysis,0,,,
2004,Family Problems,0,,,
2004,Not having Children(Barrenness/Impotency,0,,,
2004,Professional/Career Problem,0,,,
2004,Dowry Dispute,0,,,
2004,Suspected/Illicit Relation,0,,,
2004,Ideological Causes/Hero Worshipping,0,,,
2004,Death of Dear Person,0,,,
2004,Drug Abuse/Addiction,0,,,
2004,Fall in Social Reputation,0,,,
2004,Bankruptcy,0,,,
2004,Love Affairs,0,,,
2004,Other Prolonged Illness,0,,,
2004,Unemployment,0,,,
2004,Cancer,0,,,
2004,Failure in Examination,0,,,
2004,Other Causes (Please Specity),0,,,
2004,Poverty,0,,,
2004,Cancellation of Marriage,0,,,
2004,Causes Not known,0,,,
2004,Physical Abuse (Rape/Incest Etc.),0,,,
2004,Property Dispute,0,,,
2004,Insanity/Mental Illness,0,,,
2004,Illness (Aids/STD),0,,,
2004,Causes Not known,0,,,
2004,Cancer,0,,,
2004,Ideological Causes/Hero Worshipping,0,,,
2004,Love Affairs,0,,,
2004,Dowry Dispute,0,,,
2004,Not having Children(Barrenness/Impotency,0,,,
2004,Suspected/Illicit Relation,0,,,
2004,Unemployment,0,,,
2004,Failure in Examination,0,,,
2004,Insanity/Mental Illness,0,,,
2004,Poverty,0,,,
2004,Illness (Aids/STD),0,,,
2004,Professional/Career Problem,0,,,
2004,Property Dispute,0,,,
2004,Drug Abuse/Addiction,0,,,
2004,Bankruptcy,0,,,
2004,Illegitimate Pregnancy,0,,,
2004,Death of Dear Person,0,,,
2004,Divorce,0,,,
2004,Family Problems,0,,,
2004,Fall in Social Reputation,0,,,
2004,Paralysis,0,,,
2004,Cancellation of Marriage,0,,,
2004,Other Causes (Please Specity),0,,,
2004,Other Prolonged Illness,0,,,
2004,Physical Abuse (Rape/Incest Etc.),0,,,
2005,Paralysis,0,,,
2005,Unemployment,0,,,
2005,Suspected/Illicit Relation,0,,,
2005,Illness (Aids/STD),0,,,
2005,Love Affairs,0,,,
2005,Poverty,0,,,
2005,Bankruptcy,0,,,
2005,Death of Dear Person,0,,,
2005,Divorce,0,,,
2005,Drug Abuse/Addiction,0,,,
2005,Family Problems,0,,,
2005,Professional/Career Problem,0,,,
2005,Illegitimate Pregnancy,0,,,
2005,Cancellation of Marriage,0,,,
2005,Causes Not known,0,,,
2005,Failure in Examination,0,,,
2005,Fall in Social Reputation,0,,,
2005,Dowry Dispute,0,,,
2005,Not having Children(Barrenness/Impotency,0,,,
2005,Cancer,0,,,
2005,Ideological Causes/Hero Worshipping,0,,,
2005,Other Causes (Please Specity),0,,,
2005,Physical Abuse (Rape/Incest Etc.),0,,,
2005,Property Dispute,0,,,
2005,Other Prolonged Illness,0,,,
2005,Insanity/Mental Illness,0,,,
2005,Death of Dear Person,0,,,
2005,Failure in Examination,0,,,
2005,Fall in Social Reputation,0,,,
2005,Family Problems,0,,,
2005,Love Affairs,0,,,
2005,Cancellation of Marriage,0,,,
2005,Physical Abuse (Rape/Incest Etc.),0,,,
2005,Property Dispute,0,,,
2005,Ideological Causes/Hero Worshipping,0,,,
2005,Bankruptcy,0,,,
2005,Insanity/Mental Illness,0,,,
2005,Professional/Career Problem,0,,,
2005,Cancer,0,,,
2005,Other Causes (Please Specity),0,,,
2005,Poverty,0,,,
2005,Other Prolonged Illness,0,,,
2005,Unemployment,0,,,
2005,Drug Abuse/Addiction,0,,,
2005,Suspected/Illicit Relation,0,,,
2005,Illness (Aids/STD),0,,,
2005,Paralysis,0,,,
2005,Dowry Dispute,0,,,
2005,Not having Children(Barrenness/Impotency,0,,,
2005,Divorce,0,,,
2005,Illegitimate Pregnancy,0,,,
2005,Causes Not known,0,,,
2005,Death of Dear Person,0,,,
2005,Professional/Career Problem,0,,,
2005,Insanity/Mental Illness,0,,,
2005,Property Dispute,0,,,
2005,Family Problems,0,,,
2005,Not having Children(Barrenness/Impotency,0,,,
2005,Poverty,0,,,
2005,Suspected/Illicit Relation,0,,,
2005,Illness (Aids/STD),0,,,
2005,Physical Abuse (Rape/Incest Etc.),0,,,
2005,Paralysis,0,,,
2005,Bankruptcy,0,,,
2005,Illegitimate Pregnancy,0,,,
2005,Fall in Social Reputation,0,,,
2005,Failure in Examination,0,,,
2005,Other Prolonged Illness,0,,,
2005,Cancer,0,,,
2005,Cancellation of Marriage,0,,,
2005,Dowry Dispute,0,,,
2005,Ideological Causes/Hero Worshipping,0,,,
2005,Causes Not known,0,,,
2005,Unemployment,0,,,
2005,Divorce,0,,,
2005,Drug Abuse/Addiction,0,,,
2005,Cancer,0,,,
2005,Physical Abuse (Rape/Incest Etc.),0,,,
2005,Causes Not known,0,,,
2005,Fall in Social Reputation,0,,,
2005,Bankruptcy,0,,,
2005,Illegitimate Pregnancy,0,,,
2005,Suspected/Illicit Relation,0,,,
2005,Family Problems,0,,,
2005,Property Dispute,0,,,
2005,Cancellation of Marriage,0,,,
2005,Other Prolonged Illness,0,,,
2005,Unemployment,0,,,
2005,Failure in Examination,0,,,
2005,Death of Dear Person,0,,,
2005,Poverty,0,,,
2005,Dowry Dispute,0,,,
2005,Ideological Causes/Hero Worshipping,0,,,
2005,Insanity/Mental Illness,0,,,
2005,Professional/Career Problem,0,,,
2005,Not having Children(Barrenness/Impotency,0,,,
2005,Divorce,0,,,
2005,Illness (Aids/STD),0,,,
2005,Paralysis,0,,,
2005,Cancer,0,,,
2005,Drug Abuse/Addiction,0,,,
2005,Ideological Causes/Hero Worshipping,0,,,
2005,Love Affairs,0,,,
2005,Bankruptcy,0,,,
2005,Failure in Examination,0,,,
2005,Illness (Aids/STD),0,,,
2005,Cancellation of Marriage,0,,,
2005,Causes Not known,0,,,
2005,Paralysis,0,,,
2005,Poverty,0,,,
2005,Unemployment,0,,,
2005,Physical Abuse (Rape/Incest Etc.),0,,,
2005,Professional/Career Problem,0,,,
2005,Dowry Dispute,0,,,
2005,Suspected/Illicit Relation,0,,,
2005,Fall in Social Reputation,0,,,
2005,Insanity/Mental Illness,0,,,
2005,Property Dispute,0,,,
2005,Death of Dear Person,0,,,
2005,Illegitimate Pregnancy,0,,,
2005,Not having Children(Barrenness/Impotency,0,,,
2005,Family Problems,0,,,
2005,Divorce,0,,,
2005,Failure in Examination,0,,,
2005,Illness (Aids/STD),0,,,
2005,Divorce,0,,,
2005,Death of Dear Person,0,,,
2005,Family Problems,0,,,
2005,Not having Children(Barrenness/Impotency,0,,,
2005,Suspected/Illicit Relation,0,,,
2005,Dowry Dispute,0,,,
2005,Ideological Causes/Hero Worshipping,0,,,
2005,Poverty,0,,,
2005,Insanity/Mental Illness,0,,,
2005,Paralysis,0,,,
2005,Professional/Career Problem,0,,,
2005,Causes Not known,0,,,
2005,Bankruptcy,0,,,
2005,Cancellation of Marriage,0,,,
2005,Illegitimate Pregnancy,0,,,
2005,Physical Abuse (Rape/Incest Etc.),0,,,
2005,Property Dispute,0,,,
2005,Love Affairs,0,,,
2005,Fall in Social Reputation,0,,,
2005,Unemployment,0,,,
2005,Cancer,0,,,
2005,Cancer,0,,,
2005,Causes Not known,0,,,
2005,Not having Children(Barrenness/Impotency,0,,,
2005,Paralysis,0,,,
2005,Divorce,0,,,
2005,Drug Abuse/Addiction,0,,,
2005,Suspected/Illicit Relation,0,,,
2005,Bankruptcy,0,,,
2005,Cancellation of Marriage,0,,,
2005,Unemployment,0,,,
2005,Failure in Examination,0,,,
2005,Insanity/Mental Illness,0,,,
2005,Other Causes (Please Specity),0,,,
2005,Ideological Causes/Hero Worshipping,0,,,
2005,Dowry Dispute,0,,,
2005,Love Affairs,0,,,
2005,Death of Dear Person,0,,,
2005,Family Problems,0,,,
2005,Poverty,0,,,
2005,Professional/Career Problem,0,,,
2005,Other Prolonged Illness,0,,,
2005,Physical Abuse (Rape/Incest Etc.),0,,,
2005,Fall in Social Reputation,0,,,
2005,Illness (Aids/STD),0,,,
2005,Property Dispute,0,,,
2005,Illegitimate Pregnancy,0,,,
2005,Cancer,0,,,
2005,Drug Abuse/Addiction,0,,,
2005,Dowry Dispute,0,,,
2005,Ideological Causes/Hero Worshipping,0,,,
2005,Bankruptcy,0,,,
2005,Unemployment,0,,,
2005,Illness (Aids/STD),0,,,
2005,Paralysis,0,,,
2005,Illegitimate Pregnancy,0,,,
2005,Death of Dear Person,0,,,
2005,Suspected/Illicit Relation,0,,,
2005,Failure in Examination,0,,,
2005,Family Problems,0,,,
2005,Fall in Social Reputation,0,,,
2005,Insanity/Mental Illness,0,,,
2005,Physical Abuse (Rape/Incest Etc.),0,,,
2005,Professional/Career Problem,0,,,
2005,Cancellation of Marriage,0,,,
2005,Causes Not known,0,,,
2005,Not having Children(Barrenness/Impotency,0,,,
2005,Divorce,0,,,
2005,Love Affairs,0,,,
2005,Poverty,0,,,
2005,Property Dispute,0,,,
2005,Property Dispute,0,,,
2005,Not having Children(Barrenness/Impotency,0,,,
2005,Death of Dear Person,0,,,
2005,Dowry Dispute,0,,,
2005,Failure in Examination,0,,,
2005,Fall in Social Reputation,0,,,
2005,Cancellation of Marriage,0,,,
2005,Causes Not known,0,,,
2005,Ideological Causes/Hero Worshipping,0,,,
2005,Illness (Aids/STD),0,,,
2005,Unemployment,0,,,
2005,Other Causes (Please Specity),0,,,
2005,Paralysis,0,,,
2005,Bankruptcy,0,,,
2005,Cancer,0,,,
2005,Suspected/Illicit Relation,0,,,
2005,Illegitimate Pregnancy,0,,,
2005,Other Prolonged Illness,0,,,
2005,Love Affairs,0,,,
2005,Poverty,0,,,
2005,Family Problems,0,,,
2005,Insanity/Mental Illness,0,,,
2005,Physical Abuse (Rape/Incest Etc.),0,,,
2005,Professional/Career Problem,0,,,
2005,Divorce,0,,,
2005,Drug Abuse/Addiction,0,,,
2005,Property Dispute,0,,,
2005,Other Causes (Please Specity),0,,,
2005,Paralysis,0,,,
2005,Unemployment,0,,,
2005,Illness (Aids/STD),0,,,
2005,Fall in Social Reputation,0,,,
2005,Death of Dear Person,0,,,
2005,Poverty,0,,,
2005,Ideological Causes/Hero Worshipping,0,,,
2005,Drug Abuse/Addiction,0,,,
2005,Divorce,0,,,
2005,Bankruptcy,0,,,
2005,Cancellation of Marriage,0,,,
2005,Family Problems,0,,,
2005,Love Affairs,0,,,
2005,Insanity/Mental Illness,0,,,
2005,Illegitimate Pregnancy,0,,,
2005,Physical Abuse (Rape/Incest Etc.),0,,,
2005,Dowry Dispute,0,,,
2005,Suspected/Illicit Relation,0,,,
2005,Other Prolonged Illness,0,,,
2005,Professional/Career Problem,0,,,
2005,Not having Children(Barrenness/Impotency,0,,,
2005,Failure in Examination,0,,,
2005,Cancer,0,,,
2005,Causes Not known,0,,,
2006,Death of Dear Person,0,,,
2006,Family Problems,0,,,
2006,Not having Children(Barrenness/Impotency,0,,,
2006,Cancer,0,,,
2006,Drug Abuse/Addiction,0,,,
2006,Cancellation of Marriage,0,,,
2006,Other Prolonged Illness,0,,,
2006,Physical Abuse (Rape/Incest Etc.),0,,,
2006,Causes Not known,0,,,
2006,Professional/Career Problem,0,,,
2006,Dowry Dispute,0,,,
2006,Unemployment,0,,,
2006,Fall in Social Reputation,0,,,
2006,Love Affairs,0,,,
2006,Paralysis,0,,,
2006,Insanity/Mental Illness,0,,,
2006,Suspected/Illicit Relation,0,,,
2006,Property Dispute,0,,,
2006,Ideological Causes/Hero Worshipping,0,,,
2006,Illness (Aids/STD),0,,,
2006,Failure in Examination,0,,,
2006,Other Causes (Please Specity),0,,,
2006,Poverty,0,,,
2006,Bankruptcy,0,,,
2006,Illegitimate Pregnancy,0,,,
2006,Divorce,0,,,
2006,Drug Abuse/Addiction,0,,,
2006,Cancellation of Marriage,0,,,
2006,Dowry Dispute,0,,,
2006,Illegitimate Pregnancy,0,,,
2006,Bankruptcy,0,,,
2006,Paralysis,0,,,
2006,Illness (Aids/STD),0,,,
2006,Death of Dear Person,0,,,
2006,Divorce,0,,,
2006,Other Prolonged Illness,0,,,
2006,Insanity/Mental Illness,0,,,
2006,Professional/Career Problem,0,,,
2006,Love Affairs,0,,,
2006,Poverty,0,,,
2006,Family Problems,0,,,
2006,Ideological Causes/Hero Worshipping,0,,,
2006,Property Dispute,0,,,
2006,Cancer,0,,,
2006,Other Causes (Please Specity),0,,,
2006,Physical Abuse (Rape/Incest Etc.),0,,,
2006,Fall in Social Reputation,0,,,
2006,Unemployment,0,,,
2006,Not having Children(Barrenness/Impotency,0,,,
2006,Failure in Examination,0,,,
2006,Suspected/Illicit Relation,0,,,
2006,Cancer,0,,,
2006,Physical Abuse (Rape/Incest Etc.),0,,,
2006,Dowry Dispute,0,,,
2006,Ideological Causes/Hero Worshipping,0,,,
2006,Bankruptcy,0,,,
2006,Cancellation of Marriage,0,,,
2006,Illegitimate Pregnancy,0,,,
2006,Not having Children(Barrenness/Impotency,0,,,
2006,Divorce,0,,,
2006,Unemployment,0,,,
2006,Fall in Social Reputation,0,,,
2006,Failure in Examination,0,,,
2006,Love Affairs,0,,,
2006,Death of Dear Person,0,,,
2006,Family Problems,0,,,
2006,Insanity/Mental Illness,0,,,
2006,Professional/Career Problem,0,,,
2006,Property Dispute,0,,,
2006,Other Causes (Please Specity),0,,,
2006,Poverty,0,,,
2006,Illness (Aids/STD),0,,,
2006,Paralysis,0,,,
2006,Suspected/Illicit Relation,0,,,
2006,Illegitimate Pregnancy,0,,,
2006,Cancer,0,,,
2006,Divorce,0,,,
2006,Death of Dear Person,0,,,
2006,Suspected/Illicit Relation,0,,,
2006,Professional/Career Problem,0,,,
2006,Not having Children(Barrenness/Impotency,0,,,
2006,Failure in Examination,0,,,
2006,Other Prolonged Illness,0,,,
2006,Bankruptcy,0,,,
2006,Physical Abuse (Rape/Incest Etc.),0,,,
2006,Other Causes (Please Specity),0,,,
2006,Illness (Aids/STD),0,,,
2006,Fall in Social Reputation,0,,,
2006,Paralysis,0,,,
2006,Cancellation of Marriage,0,,,
2006,Insanity/Mental Illness,0,,,
2006,Property Dispute,0,,,
2006,Love Affairs,0,,,
2006,Poverty,0,,,
2006,Dowry Dispute,0,,,
2006,Ideological Causes/Hero Worshipping,0,,,
2006,Fall in Social Reputation,0,,,
2006,Paralysis,0,,,
2006,Death of Dear Person,0,,,
2006,Professional/Career Problem,0,,,
2006,Property Dispute,0,,,
2006,Dowry Dispute,0,,,
2006,Insanity/Mental Illness,0,,,
2006,Illegitimate Pregnancy,0,,,
2006,Illness (Aids/STD),0,,,
2006,Suspected/Illicit Relation,0,,,
2006,Unemployment,0,,,
2006,Love Affairs,0,,,
2006,Poverty,0,,,
2006,Ideological Causes/Hero Worshipping,0,,,
2006,Cancer,0,,,
2006,Divorce,0,,,
2006,Drug Abuse/Addiction,0,,,
2006,Not having Children(Barrenness/Impotency,0,,,
2006,Bankruptcy,0,,,
2006,Cancellation of Marriage,0,,,
2006,Other Causes (Please Specity),0,,,
2006,Physical Abuse (Rape/Incest Etc.),0,,,
2006,Other Prolonged Illness,0,,,
2006,Failure in Examination,0,,,
2006,Poverty,0,,,
2006,Unemployment,0,,,
2006,Suspected/Illicit Relation,0,,,
2006,Insanity/Mental Illness,0,,,
2006,Fall in Social Reputation,0,,,
2006,Physical Abuse (Rape/Incest Etc.),0,,,
2006,Cancellation of Marriage,0,,,
2006,Dowry Dispute,0,,,
2006,Ideological Causes/Hero Worshipping,0,,,
2006,Love Affairs,0,,,
2006,Other Prolonged Illness,0,,,
2006,Professional/Career Problem,0,,,
2006,Property Dispute,0,,,
2006,Failure in Examination,0,,,
2006,Divorce,0,,,
2006,Cancer,0,,,
2006,Paralysis,0,,,
2006,Not having Children(Barrenness/Impotency,0,,,
2006,Illness (Aids/STD),0,,,
2006,Illegitimate Pregnancy,0,,,
2006,Bankruptcy,0,,,
2006,Death of Dear Person,0,,,
2006,Love Affairs,0,,,
2006,Death of Dear Person,0,,,
2006,Unemployment,0,,,
2006,Poverty,0,,,
2006,Illness (Aids/STD),0,,,
2006,Ideological Causes/Hero Worshipping,0,,,
2006,Cancer,0,,,
2006,Other Prolonged Illness,0,,,
2006,Property Dispute,0,,,
2006,Fall in Social Reputation,0,,,
2006,Physical Abuse (Rape/Incest Etc.),0,,,
2006,Divorce,0,,,
2006,Dowry Dispute,0,,,
2006,Suspected/Illicit Relation,0,,,
2006,Causes Not known,0,,,
2006,Paralysis,0,,,
2006,Illegitimate Pregnancy,0,,,
2006,Bankruptcy,0,,,
2006,Cancellation of Marriage,0,,,
2006,Failure in Examination,0,,,
2006,Professional/Career Problem,0,,,
2006,Drug Abuse/Addiction,0,,,
2006,Not having Children(Barrenness/Impotency,0,,,
2006,Family Problems,0,,,
2006,Insanity/Mental Illness,0,,,
2006,Failure in Examination,0,,,
2006,Insanity/Mental Illness,0,,,
2006,Professional/Career Problem,0,,,
2006,Death of Dear Person,0,,,
2006,Other Prolonged Illness,0,,,
2006,Physical Abuse (Rape/Incest Etc.),0,,,
2006,Poverty,0,,,
2006,Love Affairs,0,,,
2006,Divorce,0,,,
2006,Drug Abuse/Addiction,0,,,
2006,Suspected/Illicit Relation,0,,,
2006,Dowry Dispute,0,,,
2006,Other Causes (Please Specity),0,,,
2006,Unemployment,0,,,
2006,Cancer,0,,,
2006,Ideological Causes/Hero Worshipping,0,,,
2006,Bankruptcy,0,,,
2006,Cancellation of Marriage,0,,,
2006,Illegitimate Pregnancy,0,,,
2006,Not having Children(Barrenness/Impotency,0,,,
2006,Illness (Aids/STD),0,,,
2006,Paralysis,0,,,
2006,Fall in Social Reputation,0,,,
2006,Property Dispute,0,,,
2006,Physical Abuse (Rape/Incest Etc.),0,,,
2006,Property Dispute,0,,,
2006,Other Causes (Please Specity),0,,,
2006,Other Prolonged Illness,0,,,
2006,Poverty,0,,,
2006,Unemployment,0,,,
2006,Cancer,0,,,
2006,Divorce,0,,,
2006,Insanity/Mental Illness,0,,,
2006,Love Affairs,0,,,
2006,Bankruptcy,0,,,
2006,Fall in Social Reputation,0,,,
2006,Failure in Examination,0,,,
2006,Death of Dear Person,0,,,
2006,Family Problems,0,,,
2006,Drug Abuse/Addiction,0,,,
2006,Suspected/Illicit Relation,0,,,
2006,Cancellation of Marriage,0,,,
2006,Illegitimate Pregnancy,0,,,
2006,Causes Not known,0,,,
2006,Not having Children(Barrenness/Impotency,0,,,
2006,Illness (Aids/STD),0,,,
2006,Paralysis,0,,,
2006,Dowry Dispute,0,,,
2006,Professional/Career Problem,0,,,
2006,Ideological Causes/Hero Worshipping,0,,,
2006,Divorce,0,,,
2006,Family Problems,0,,,
2006,Drug Abuse/Addiction,0,,,
2006,Professional/Career Problem,0,,,
2006,Illegitimate Pregnancy,0,,,
2006,Fall in Social Reputation,0,,,
2006,Love Affairs,0,,,
2006,Cancer,0,,,
2006,Insanity/Mental Illness,0,,,
2006,Property Dispute,0,,,
2006,Other Prolonged Illness,0,,,
2006,Death of Dear Person,0,,,
2006,Not having Children(Barrenness/Impotency,0,,,
2006,Suspected/Illicit Relation,0,,,
2006,Physical Abuse (Rape/Incest Etc.),0,,,
2006,Dowry Dispute,0,,,
2006,Bankruptcy,0,,,
2006,Illness (Aids/STD),0,,,
2006,Paralysis,0,,,
2006,Unemployment,0,,,
2006,Failure in Examination,0,,,
2006,Cancellation of Marriage,0,,,
2006,Causes Not known,0,,,
2006,Other Causes (Please Specity),0,,,
2006,Ideological Causes/Hero Worshipping,0,,,
2006,Poverty,0,,,
2007,Insanity/Mental Illness,0,,,
2007,Causes Not known,0,,,
2007,Poverty,0,,,
2007,Illness (Aids/STD),0,,,
2007,Paralysis,0,,,
2007,Fall in Social Reputation,0,,,
2007,Not having Children(Barrenness/Impotency,0,,,
2007,Other Causes (Please Specity),0,,,
2007,Suspected/Illicit Relation,0,,,
2007,Cancellation of Marriage,0,,,
2007,Ideological Causes/Hero Worshipping,0,,,
2007,Love Affairs,0,,,
2007,Property Dispute,0,,,
2007,Failure in Examination,0,,,
2007,Professional/Career Problem,0,,,
2007,Other Prolonged Illness,0,,,
2007,Cancer,0,,,
2007,Divorce,0,,,
2007,Drug Abuse/Addiction,0,,,
2007,Physical Abuse (Rape/Incest Etc.),0,,,
2007,Unemployment,0,,,
2007,Family Problems,0,,,
2007,Death of Dear Person,0,,,
2007,Dowry Dispute,0,,,
2007,Bankruptcy,0,,,
2007,Illegitimate Pregnancy,0,,,
2007,Dowry Dispute,0,,,
2007,Paralysis,0,,,
2007,Illegitimate Pregnancy,0,,,
2007,Not having Children(Barrenness/Impotency,0,,,
2007,Property Dispute,0,,,
2007,Illness (Aids/STD),0,,,
2007,Suspected/Illicit Relation,0,,,
2007,Other Causes (Please Specity),0,,,
2007,Unemployment,0,,,
2007,Failure in Examination,0,,,
2007,Fall in Social Reputation,0,,,
2007,Ideological Causes/Hero Worshipping,0,,,
2007,Divorce,0,,,
2007,Causes Not known,0,,,
2007,Love Affairs,0,,,
2007,Drug Abuse/Addiction,0,,,
2007,Cancer,0,,,
2007,Insanity/Mental Illness,0,,,
2007,Physical Abuse (Rape/Incest Etc.),0,,,
2007,Poverty,0,,,
2007,Bankruptcy,0,,,
2007,Cancellation of Marriage,0,,,
2007,Other Prolonged Illness,0,,,
2007,Death of Dear Person,0,,,
2007,Family Problems,0,,,
2007,Professional/Career Problem,0,,,
2007,Property Dispute,0,,,
2007,Death of Dear Person,0,,,
2007,Cancer,0,,,
2007,Dowry Dispute,0,,,
2007,Ideological Causes/Hero Worshipping,0,,,
2007,Illegitimate Pregnancy,0,,,
2007,Drug Abuse/Addiction,0,,,
2007,Other Prolonged Illness,0,,,
2007,Bankruptcy,0,,,
2007,Family Problems,0,,,
2007,Cancellation of Marriage,0,,,
2007,Suspected/Illicit Relation,0,,,
2007,Unemployment,0,,,
2007,Divorce,0,,,
2007,Professional/Career Problem,0,,,
2007,Fall in Social Reputation,0,,,
2007,Insanity/Mental Illness,0,,,
2007,Love Affairs,0,,,
2007,Not having Children(Barrenness/Impotency,0,,,
2007,Failure in Examination,0,,,
2007,Illness (Aids/STD),0,,,
2007,Poverty,0,,,
2007,Physical Abuse (Rape/Incest Etc.),0,,,
2007,Paralysis,0,,,
2007,Drug Abuse/Addiction,0,,,
2007,Paralysis,0,,,
2007,Poverty,0,,,
2007,Professional/Career Problem,0,,,
2007,Cancellation of Marriage,0,,,
2007,Death of Dear Person,0,,,
2007,Failure in Examination,0,,,
2007,Illness (Aids/STD),0,,,
2007,Dowry Dispute,0,,,
2007,Ideological Causes/Hero Worshipping,0,,,
2007,Love Affairs,0,,,
2007,Insanity/Mental Illness,0,,,
2007,Bankruptcy,0,,,
2007,Illegitimate Pregnancy,0,,,
2007,Unemployment,0,,,
2007,Cancer,0,,,
2007,Not having Children(Barrenness/Impotency,0,,,
2007,Divorce,0,,,
2007,Suspected/Illicit Relation,0,,,
2007,Fall in Social Reputation,0,,,
2007,Physical Abuse (Rape/Incest Etc.),0,,,
2007,Property Dispute,0,,,
2007,Other Prolonged Illness,0,,,
2007,Suspected/Illicit Relation,0,,,
2007,Cancellation of Marriage,0,,,
2007,Other Causes (Please Specity),0,,,
2007,Other Prolonged Illness,0,,,
2007,Physical Abuse (Rape/Incest Etc.),0,,,
2007,Failure in Examination,0,,,
2007,Illegitimate Pregnancy,0,,,
2007,Unemployment,0,,,
2007,Professional/Career Problem,0,,,
2007,Divorce,0,,,
2007,Dowry Dispute,0,,,
2007,Causes Not known,0,,,
2007,Not having Children(Barrenness/Impotency,0,,,
2007,Cancer,0,,,
2007,Paralysis,0,,,
2007,Death of Dear Person,0,,,
2007,Ideological Causes/Hero Worshipping,0,,,
2007,Love Affairs,0,,,
2007,Poverty,0,,,
2007,Fall in Social Reputation,0,,,
2007,Illness (Aids/STD),0,,,
2007,Property Dispute,0,,,
2007,Bankruptcy,0,,,
2007,Paralysis,0,,,
2007,Cancer,0,,,
2007,Illness (Aids/STD),0,,,
2007,Divorce,0,,,
2007,Bankruptcy,0,,,
2007,Cancellation of Marriage,0,,,
2007,Illegitimate Pregnancy,0,,,
2007,Fall in Social Reputation,0,,,
2007,Not having Children(Barrenness/Impotency,0,,,
2007,Unemployment,0,,,
2007,Failure in Examination,0,,,
2007,Professional/Career Problem,0,,,
2007,Death of Dear Person,0,,,
2007,Love Affairs,0,,,
2007,Poverty,0,,,
2007,Dowry Dispute,0,,,
2007,Ideological Causes/Hero Worshipping,0,,,
2007,Insanity/Mental Illness,0,,,
2007,Suspected/Illicit Relation,0,,,
2007,Physical Abuse (Rape/Incest Etc.),0,,,
2007,Other Prolonged Illness,0,,,
2007,Property Dispute,0,,,
2007,Paralysis,0,,,
2007,Dowry Dispute,0,,,
2007,Bankruptcy,0,,,
2007,Illegitimate Pregnancy,0,,,
2007,Professional/Career Problem,0,,,
2007,Property Dispute,0,,,
2007,Insanity/Mental Illness,0,,,
2007,Suspected/Illicit Relation,0,,,
2007,Family Problems,0,,,
2007,Divorce,0,,,
2007,Fall in Social Reputation,0,,,
2007,Death of Dear Person,0,,,
2007,Not having Children(Barrenness/Impotency,0,,,
2007,Ideological Causes/Hero Worshipping,0,,,
2007,Other Causes (Please Specity),0,,,
2007,Love Affairs,0,,,
2007,Poverty,0,,,
2007,Illness (Aids/STD),0,,,
2007,Drug Abuse/Addiction,0,,,
2007,Cancer,0,,,
2007,Failure in Examination,0,,,
2007,Cancellation of Marriage,0,,,
2007,Causes Not known,0,,,
2007,Physical Abuse (Rape/Incest Etc.),0,,,
2007,Other Prolonged Illness,0,,,
2007,Unemployment,0,,,
2007,Love Affairs,0,,,
2007,Dowry Dispute,0,,,
2007,Ideological Causes/Hero Worshipping,0,,,
2007,Cancellation of Marriage,0,,,
2007,Suspected/Illicit Relation,0,,,
2007,Not having Children(Barrenness/Impotency,0,,,
2007,Property Dispute,0,,,
2007,Illegitimate Pregnancy,0,,,
2007,Physical Abuse (Rape/Incest Etc.),0,,,
2007,Fall in Social Reputation,0,,,
2007,Poverty,0,,,
2007,Unemployment,0,,,
2007,Divorce,0,,,
2007,Cancer,0,,,
2007,Insanity/Mental Illness,0,,,
2007,Other Prolonged Illness,0,,,
2007,Drug Abuse/Addiction,0,,,
2007,Failure in Examination,0,,,
2007,Professional/Career Problem,0,,,
2007,Bankruptcy,0,,,
2007,Death of Dear Person,0,,,
2007,Family Problems,0,,,
2007,Illness (Aids/STD),0,,,
2007,Paralysis,0,,,
2007,Illegitimate Pregnancy,0,,,
2007,Not having Children(Barrenness/Impotency,0,,,
2007,Professional/Career Problem,0,,,
2007,Family Problems,0,,,
2007,Divorce,0,,,
2007,Dowry Dispute,0,,,
2007,Suspected/Illicit Relation,0,,,
2007,Causes Not known,0,,,
2007,Ideological Causes/Hero Worshipping,0,,,
2007,Other Prolonged Illness,0,,,
2007,Drug Abuse/Addiction,0,,,
2007,Death of Dear Person,0,,,
2007,Unemployment,0,,,
2007,Failure in Examination,0,,,
2007,Fall in Social Reputation,0,,,
2007,Love Affairs,0,,,
2007,Cancer,0,,,
2007,Other Causes (Please Specity),0,,,
2007,Poverty,0,,,
2007,Cancellation of Marriage,0,,,
2007,Physical Abuse (Rape/Incest Etc.),0,,,
2007,Property Dispute,0,,,
2007,Bankruptcy,0,,,
2007,Insanity/Mental Illness,0,,,
2007,Illness (Aids/STD),0,,,
2007,Paralysis,0,,,
2007,Causes Not known,0,,,
2007,Love Affairs,0,,,
2007,Dowry Dispute,0,,,
